Array,Port,GridRow,GridCol,ElectrodeID,NSP_ID
PMd,Port A,0,6,241,99
PMd,Port B,0,7,249,236
PMd,Port B,1,0,194,200
PMd,Port A,1,1,202,123
PMd,Port B,1,2,210,233
PMd,Port A,1,3,218,120
PMd,Port B,1,4,226,230
PMd,Port A,1,5,234,125
PMd,Port A,1,6,242,103
PMd,Port B,1,7,250,232
PMd,Port B,2,0,195,196
PMd,Port A,2,1,203,126
PMd,Port B,2,2,211,229
PMd,Port A,2,3,219,124
PMd,Port B,2,4,227,226
PMd,Port B,2,5,235,250
PMd,Port A,2,6,243,107
PMd,Port B,2,7,251,228
PMd,Port A,3,0,196,68
PMd,Port A,3,1,204,128
PMd,Port B,3,2,212,225
PMd,Port A,3,3,220,127
PMd,Port A,3,4,228,98
PMd,Port B,3,5,236,245
PMd,Port A,3,6,244,112
PMd,Port A,3,7,252,100
PMd,Port A,4,0,197,72
PMd,Port B,4,1,205,255
PMd,Port A,4,2,213,97
PMd,Port B,4,3,221,253
PMd,Port A,4,4,229,102
PMd,Port B,4,5,237,240
PMd,Port A,4,6,245,117
PMd,Port A,4,7,253,104
PMd,Port A,5,0,198,76
PMd,Port B,5,1,206,252
PMd,Port A,5,2,214,101
PMd,Port B,5,3,222,249
PMd,Port A,5,4,230,106
PMd,Port B,5,5,238,235
PMd,Port A,5,6,246,122
PMd,Port A,5,7,254,108
PMd,Port A,6,0,199,109
PMd,Port B,6,1,207,248
PMd,Port A,6,2,215,105
PMd,Port B,6,3,223,244
PMd,Port A,6,4,231,111
PMd,Port B,6,5,239,231
PMd,Port B,6,6,247,246
PMd,Port A,6,7,255,113
PMd,Port A,7,0,200,114
PMd,Port B,7,1,208,243
PMd,Port A,7,2,216,110
PMd,Port B,7,3,224,239
PMd,Port A,7,4,232,116
PMd,Port B,7,5,240,227
PMd,Port B,7,6,248,241
PMd,Port A,7,7,256,118
