Array,Port,GridRow,GridCol,ElectrodeID,NSP_ID
M1s,Port A,0,6,241,99
M1s,Port B,0,7,249,236
M1s,Port B,1,0,194,200
M1s,Port A,1,1,202,123
M1s,Port B,1,2,210,233
M1s,Port A,1,3,218,120
M1s,Port B,1,4,226,230
M1s,Port A,1,5,234,125
M1s,Port A,1,6,242,103
M1s,Port B,1,7,250,232
M1s,Port B,2,0,195,196
M1s,Port A,2,1,203,126
M1s,Port B,2,2,211,229
M1s,Port A,2,3,219,124
M1s,Port B,2,4,227,226
M1s,Port B,2,5,235,250
M1s,Port A,2,6,243,107
M1s,Port B,2,7,251,228
M1s,Port A,3,0,196,68
M1s,Port A,3,1,204,128
M1s,Port B,3,2,212,225
M1s,Port A,3,3,220,127
M1s,Port A,3,4,228,98
M1s,Port B,3,5,236,245
M1s,Port A,3,6,244,112
M1s,Port A,3,7,252,100
M1s,Port A,4,0,197,72
M1s,Port B,4,1,205,255
M1s,Port A,4,2,213,97
M1s,Port B,4,3,221,253
M1s,Port A,4,4,229,102
M1s,Port B,4,5,237,240
M1s,Port A,4,6,245,117
M1s,Port A,4,7,253,104
M1s,Port A,5,0,198,76
M1s,Port B,5,1,206,252
M1s,Port A,5,2,214,101
M1s,Port B,5,3,222,249
M1s,Port A,5,4,230,106
M1s,Port B,5,5,238,235
M1s,Port A,5,6,246,122
M1s,Port A,5,7,254,108
M1s,Port A,6,0,199,109
M1s,Port B,6,1,207,248
M1s,Port A,6,2,215,105
M1s,Port B,6,3,223,244
M1s,Port A,6,4,231,111
M1s,Port B,6,5,239,231
M1s,Port B,6,6,247,246
M1s,Port A,6,7,255,113
M1s,Port A,7,0,200,114
M1s,Port B,7,1,208,243
M1s,Port A,7,2,216,110
M1s,Port B,7,3,224,239
M1s,Port A,7,4,232,116
M1s,Port B,7,5,240,227
M1s,Port B,7,6,248,241
M1s,Port A,7,7,256,118
