channel_id,electrode,port,lag_samples,lag_ms,confidence
UAe150_NSP094,150,A,18,0.6,3.0399487018585205
UAe168_NSP095,168,A,17,0.5666666666666667,0.0
UAe186_NSP096,186,A,17,0.5666666666666667,0.25465092062950134
UAe213_NSP097,213,A,18,0.6,31.886425018310547
UAe228_NSP098,228,A,18,0.6,26.24581527709961
UAe241_NSP099,241,A,18,0.6,26.044897079467773
UAe252_NSP100,252,A,18,0.6,56.54462432861328
UAe214_NSP101,214,A,18,0.6,35.33061599731445
UAe229_NSP102,229,A,18,0.6,42.93146514892578
UAe242_NSP103,242,A,18,0.6,50.289955139160156
UAe253_NSP104,253,A,18,0.6,56.386680603027344
UAe215_NSP105,215,A,18,0.6,41.004676818847656
UAe230_NSP106,230,A,18,0.6,54.325645446777344
UAe243_NSP107,243,A,18,0.6,50.487525939941406
UAe254_NSP108,254,A,18,0.6,50.77886199951172
UAe199_NSP109,199,A,18,0.6,28.481491088867188
UAe216_NSP110,216,A,18,0.6,36.15230178833008
UAe231_NSP111,231,A,18,0.6,60.243934631347656
UAe244_NSP112,244,A,18,0.6,74.85145568847656
UAe255_NSP113,255,A,18,0.6,77.29776763916016
UAe200_NSP114,200,A,18,0.6,36.402008056640625
UAe217_NSP115,217,A,18,0.6,38.9813346862793
UAe232_NSP116,232,A,18,0.6,64.27904510498047
UAe245_NSP117,245,A,18,0.6,78.41686248779297
UAe256_NSP118,256,A,18,0.6,59.111392974853516
UAe201_NSP119,201,A,18,0.6,42.96097183227539
UAe218_NSP120,218,A,18,0.6,27.178150177001953
UAe233_NSP121,233,A,18,0.6,39.84733200073242
UAe246_NSP122,246,A,17,0.5666666666666667,15.07731819152832
UAe202_NSP123,202,A,17,0.5666666666666667,7.197813034057617
UAe219_NSP124,219,A,17,0.5666666666666667,21.567838668823242
UAe234_NSP125,234,A,17,0.5666666666666667,27.858049392700195
UAe203_NSP126,203,A,17,0.5666666666666667,11.84113597869873
UAe220_NSP127,220,A,17,0.5666666666666667,26.866243362426758
UAe204_NSP128,204,A,17,0.5666666666666667,27.063472747802734
